Date,VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV
2024-02-07,444.9242248535156,486.1212463378906,484.7596435546875,239.8213348388672,426.7330017089844,44.40309524536133,329.8678894042969,188.5,65.2283706665039,144.8660430908203
2024-02-08,445.2254943847656,486.4418029785156,484.97369384765625,240.41412353515625,427.5232849121094,44.32838821411133,330.4219970703125,188.3300018310547,65.12582397460938,144.904052734375
2024-02-09,447.7525939941406,489.25897216796875,487.77655029296875,241.8815460205078,431.7314147949219,44.48713302612305,334.0924987792969,187.60000610351562,65.36824035644531,144.8660430908203
2024-02-12,447.54840087890625,488.9967041015625,487.5624694824219,242.1147918701172,430.0422058105469,44.59918975830078,332.17315673828125,187.11000061035156,65.4708023071289,145.6930389404297
2024-02-13,441.24041748046875,482.4298095703125,480.8472900390625,238.23731994628906,423.3348083496094,43.80544662475586,327.2757873535156,184.52999877929688,64.4451904296875,143.8013916015625
2024-02-14,445.4393310546875,486.73321533203125,485.2170104980469,240.8708953857422,427.9479675292969,44.34706115722656,331.5794982910156,184.4199981689453,65.1817626953125,144.63792419433594
2024-02-15,448.4523620605469,489.93890380859375,488.56494140625,242.72705078125,429.2223205566406,44.84198760986328,332.07421875,185.66000366210938,65.8996810913086,146.37745666503906
2024-02-16,446.1585388183594,487.6075439453125,486.1318664550781,241.4539794921875,425.33026123046875,44.87934112548828,329.69970703125,186.33999633789062,65.98358917236328,146.0257110595703
2024-02-20,443.7091979980469,484.8973083496094,483.4555358886719,239.93792724609375,422.11981201171875,45.038089752197266,326.2863464355469,187.47000122070312,66.24466705322266,145.99720764160156
2024-02-21,444.1563720703125,485.3343811035156,483.8934631347656,239.98655700683594,420.43060302734375,45.066104888916016,325.43548583984375,187.47999572753906,66.27263641357422,146.67210388183594
2024-02-22,453.4870910644531,495.4760437011719,493.9078369140625,244.72894287109375,432.739013671875,45.54235076904297,335.8338317871094,187.55999755859375,66.99055480957031,147.85079956054688
