Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
83,83,"ACGL,AME,BIIB,COR,CPRT,HON,INTC,POOL,WFC,XYL",2025-06-20,2025-06-27,1,mean_variance,0.006290924156731209,0.006294965744018555
84,84,"ACGL,EXE,FSLR,GS,HCA,MCHP,MDLZ,MSI,NDAQ,NI",2024-07-05,2024-07-12,1,mean_variance,0.00023748698894963092,0.00024259090423583984
85,85,"AME,APO,BR,CDW,FCX,FITB,FTNT,OMC,PAYX,WFC",2024-11-01,2024-11-08,1,mean_variance,0.03890934814053569,0.0389094352722168
86,86,"APP,CHD,CMS,ES,IBM,IQV,KKR,LMT,VRTX,YUM",2021-12-31,2022-01-07,1,min_variance,0.012456737151331946,0.012454450130462646
87,87,"BKR,CARR,DHI,ES,EXE,FITB,INTC,NI,SATS,STE",2023-01-06,2023-01-13,1,equal_weight,-0.0016267671717787834,-0.0016260147094726562
88,88,"AWK,CARR,DHI,FCX,HAS,IBM,MCHP,MDLZ,TMO,VRT",2025-02-28,2025-03-07,1,min_variance,0.009054811722604542,0.009099721908569336
89,89,"AWK,BKR,CDNS,EQIX,GPN,HSIC,MAR,NCLH,PSX,STE",2025-06-20,2025-06-27,1,equal_weight,-0.0018826424044463082,-0.001845717430114746
90,90,"APO,BR,COR,EQIX,HCA,MSI,PAYX,PSX,USB,XYL",2023-08-04,2023-08-11,1,min_variance,0.008070845509318275,0.008064985275268555
91,91,"APP,CARR,CHD,EQIX,HON,NCLH,PANW,SWK,TAP,TTD",2025-05-02,2025-05-09,1,equal_weight,-0.0005076346487609075,-0.0005103349685668945
92,92,"ACGL,APA,AWK,CDNS,EXE,FSLR,LMT,RF,TAP,TRV",2025-07-03,2025-07-11,1,min_variance,0.01337529033236386,0.013368606567382812
93,93,"BF-B,BR,CDNS,CHD,FSLR,IQV,STE,USB,VTR,YUM",2023-05-12,2023-05-19,1,min_variance,0.002927473124890081,0.002932310104370117
94,94,"ACGL,AWK,BKR,CDNS,FITB,IQV,NDAQ,TAP,TTD,WY",2025-10-10,2025-10-17,1,risk_parity,-0.00032677618257504235,-0.0002995729446411133
95,95,"CDNS,GOOG,IBM,PANW,PSX,SBAC,SJM,VRT,XYL,YUM",2022-11-25,2022-12-02,1,equal_weight,-0.0017766618831371475,-0.0017451047897338867
96,96,"COR,CPRT,EXE,IBM,MAR,NCLH,PANW,PSA,SATS,VRT",2022-09-02,2022-09-09,1,mean_variance,0.026347471322530035,0.02634716033935547
97,97,"BR,CDNS,GPN,HCA,HON,LLY,NVR,PSX,RSG,VTR",2024-10-04,2024-10-11,1,equal_weight,-0.0025174065023409876,-0.002518892288208008
98,98,"AWK,GOOG,INTC,LMT,MDLZ,MSI,NDAQ,NI,VST,WDC",2024-07-19,2024-07-26,1,min_variance,0.026707227904223793,0.026703238487243652
99,99,"ESS,IBM,MAR,OMC,PAYX,PH,RF,STE,VTR,WDC",2022-03-11,2022-03-18,1,equal_weight,-0.0013363650424236125,-0.0013355016708374023
100,100,"CDNS,FTNT,GPN,LLY,MAR,MSI,PANW,POOL,STE,VRT",2025-06-20,2025-06-27,1,mean_variance,0.008196646530661263,0.008202075958251953
101,101,"BF-B,BR,CARR,EQIX,FITB,NWSA,OKE,PANW,PSA,RSG",2022-06-24,2022-07-01,1,min_variance,0.003040107506095772,0.0030518770217895508
102,102,"BR,CHD,EQIX,ETR,NWSA,PAYX,SATS,TMO,WY,YUM",2025-05-02,2025-05-09,1,mean_variance,0.002071513344302531,0.0020731687545776367
103,103,"ESS,LLY,MSI,NI,OKE,PSA,PSX,TRV,VRTX,WDC",2021-07-23,2021-07-30,1,equal_weight,-0.0017225207444230596,-0.0017175674438476562
104,104,"AME,GS,HAS,LLY,NTAP,PANW,TMO,VST,WDC,XYL",2025-04-17,2025-04-25,1,mean_variance,0.00711968021414877,0.007149815559387207
105,105,"ES,FSLR,HCA,HON,INTC,NDAQ,NWSA,RSG,SBAC,VST",2025-04-04,2025-04-11,1,equal_weight,-0.0014532461960487368,-0.0014055967330932617
106,106,"BIIB,CPRT,EQIX,INTC,IQV,NI,NTAP,PAYX,PH,WY",2025-03-21,2025-03-28,1,min_variance,0.015516702051617285,0.015523552894592285
107,107,"ACGL,CHD,COR,ESS,ETR,GPN,MDLZ,NI,RSG,SWK",2024-09-06,2024-09-13,1,mean_variance,0.017411570398465363,0.017407774925231934
108,108,"BKR,COR,EXE,GS,IBM,MDLZ,PAYX,VST,WDC,WFC",2023-10-06,2023-10-13,1,risk_parity,-0.0016639619816886581,-0.0016617774963378906
109,109,"AWK,CARR,ES,ETR,KKR,MSI,RSG,TRV,USB,VTR",2024-11-15,2024-11-22,1,mean_variance,-0.0003069514905431056,-0.00030350685119628906
110,110,"ACGL,EQIX,EXE,HAS,IQV,KKR,LMT,OKE,OMC,SBAC",2022-11-04,2022-11-11,1,equal_weight,-0.0013568665173699106,-0.0013594627380371094
111,111,"APP,BKR,CHD,CPRT,EXE,FCX,HSIC,INTC,USB,VST",2025-03-21,2025-03-28,1,min_variance,0.03504061609706507,0.035038530826568604
112,112,"CHD,DHI,FITB,GS,HAS,PH,PSA,PSX,SJM,TMO",2024-03-01,2024-03-08,1,risk_parity,0.00011594459022120626,0.00012683868408203125
113,113,"ACGL,APP,AWK,CDNS,DHI,ETR,EXE,FCX,LLY,WFC",2023-09-15,2023-09-22,1,min_variance,0.004610078186592719,0.004612147808074951
114,114,"AME,APP,CDNS,CDW,ESS,FITB,MSI,PSX,SWK,TAP",2023-12-01,2023-12-08,1,equal_weight,-0.0009952975917370671,-0.0009925365447998047
115,115,"COR,EQIX,FCX,KKR,LH,MAR,PH,POOL,PSX,WFC",2024-03-22,2024-03-28,1,min_variance,3.3522197298602337e-06,4.5299530029296875e-06
