Index,universe_id,tickers,rebalance_date,forward_end,samples,selected_objective,weighted_reward,blended_excess_reward
88,88,"AWK,CARR,DHI,FCX,HAS,IBM,MCHP,MDLZ,TMO,VRT",2025-02-21,2025-02-28,1,min_variance,0.0017589412045767047,0.001769721508026123
89,89,"AWK,BKR,CDNS,EQIX,GPN,HSIC,MAR,NCLH,PSX,STE",2025-06-13,2025-06-20,1,equal_weight,-0.0021980594513544126,-0.002194046974182129
90,90,"APO,BR,COR,EQIX,HCA,MSI,PAYX,PSX,USB,XYL",2023-07-14,2023-07-21,1,mean_variance,0.003753535894352565,0.0037627220153808594
91,91,"APP,CARR,CHD,EQIX,HON,NCLH,PANW,SWK,TAP,TTD",2025-04-25,2025-05-02,1,mean_variance,0.027851461302559683,0.027849435806274414
92,92,"ACGL,APA,AWK,CDNS,EXE,FSLR,LMT,RF,TAP,TRV",2025-06-27,2025-07-03,1,mean_variance,0.02193079656925605,0.021930694580078125
93,93,"BF-B,BR,CDNS,CHD,FSLR,IQV,STE,USB,VTR,YUM",2023-04-21,2023-04-28,1,min_variance,0.023365471634560934,0.02336674928665161
94,94,"ACGL,AWK,BKR,CDNS,FITB,IQV,NDAQ,TAP,TTD,WY",2025-10-10,2025-10-17,1,min_variance,-0.0007925452537900337,-0.0007925629615783691
95,95,"CDNS,GOOG,IBM,PANW,PSX,SBAC,SJM,VRT,XYL,YUM",2022-10-21,2022-10-28,1,mean_variance,0.02201496829145992,0.022020459175109863
96,96,"COR,CPRT,EXE,IBM,MAR,NCLH,PANW,PSA,SATS,VRT",2022-07-29,2022-08-05,1,mean_variance,0.036271327441145806,0.036271095275878906
97,97,"BR,CDNS,GPN,HCA,HON,LLY,NVR,PSX,RSG,VTR",2024-09-20,2024-09-27,1,min_variance,0.012696067731681795,0.012690544128417969
98,98,"AWK,GOOG,INTC,LMT,MDLZ,MSI,NDAQ,NI,VST,WDC",2024-07-05,2024-07-12,1,equal_weight,-0.0025259528930696253,-0.00249326229095459
99,99,"ESS,IBM,MAR,OMC,PAYX,PH,RF,STE,VTR,WDC",2022-02-04,2022-02-11,1,mean_variance,0.01918535530302579,0.019178032875061035
